Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
1,Anya Chalotra,1995-07-21,5′ 6″ (1.68 m),['Actress'],1.0,The Witcher,"Wolverhampton, Staffordshire, England, UK"
2,Hayley Atwell,1982-04-05,5′ 6½″ (1.69 m),"['Actress', 'Soundtrack']",15.0,Captain America: The First Avenger,"London, England, UK"
3,Rebecca Ferguson,1983-10-19,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",9.0,The Greatest Showman,Sweden
4,Vanessa Kirby,1988-04-18,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Producer']",5.0,The Crown,"London, England, UK"
5,Tom Cruise,1962-07-03,5′ 7″ (1.70 m),"['Actor', 'Director', 'Producer']",59.0,Top Gun,"Syracuse, New York, USA"
6,Freya Allan,2001-09-06,5′ 5″ (1.65 m),['Actress'],1.0,Kingdom of the Planet of the Apes,"Oxford, Oxfordshire, England, UK"
7,Pom Klementieff,1986-05-03,5′ 7″ (1.70 m),"['Actress', 'Writer']",1.0,Guardians of the Galaxy Vol. 2,"Quebec City, Quebec, Canada"
8,Ellen Barkin,1954-04-16,5′ 6″ (1.68 m),"['Actress', 'Producer']",4.0,The Fan,"The Bronx, New York City, New York, USA"
9,Florence Pugh,1996-01-03,5′ 3¾″ (1.62 m),"['Actress', 'Soundtrack', 'Producer']",38.0,The Falling,"Oxford, Oxfordshire, England, UK"
10,Nina Dobrev,1989-01-09,5′ 7″ (1.70 m),"['Actress', 'Director', 'Producer']",14.0,The Perks of Being a Wallflower,"Sofia, Bulgaria"
11,Cillian Murphy,1976-05-25,5′ 7¾″ (1.72 m),"['Actor', 'Producer', 'Writer']",10.0,28 Days Later,"Douglas, Cork, Ireland"
12,Henry Cavill,1983-05-05,6′ 1″ (1.85 m),"['Actor', 'Producer', 'Additional Crew']",3.0,Man of Steel,"Jersey, Channel Islands"
13,Margot Robbie,1990-07-02,5′ 6″ (1.68 m),"['Actress', 'Producer', 'Executive']",23.0,Suicide Squad,"Dalby, Queensland, Australia"
14,Jim Caviezel,1968-09-26,6′ 2″ (1.88 m),"['Actor', 'Producer']",5.0,The Passion of the Christ,"Mount Vernon, Washington, USA"
15,Christopher Nolan,1970-07-30,5′ 11¼″ (1.81 m),"['Director', 'Producer', 'Writer']",145.0,Tenet,"London, England, UK"
16,Ariana Greenblatt,2007-08-27,,['Actress'],1.0,Barbie,"New York, USA"
17,Becki Newton,1978-07-04,5′ 3″ (1.60 m),"['Actress', 'Soundtrack']",4.0,Ugly Betty,"New Haven, Connecticut, USA"
18,Timothée Chalamet,1995-12-27,5′ 10″ (1.78 m),"['Actor', 'Soundtrack', 'Producer']",39.0,Call Me by Your Name,"New York City, New York, USA"
19,Lana Parrilla,1977-07-15,5′ 6″ (1.68 m),"['Actress', 'Director', 'Producer']",5.0,Once Upon a Time,"Brooklyn, New York City, New York, USA"
20,Phoebe Waller-Bridge,1985-07-14,5′ 9¾″ (1.77 m),"['Actress', 'Producer', 'Writer']",33.0,Solo: A Star Wars Story,"London, England, UK"
21,Will Poulter,1993-01-28,6′ 3¼″ (1.91 m),"['Actor', 'Producer', 'Writer']",5.0,We're the Millers,"England, UK"
22,Harrison Ford,1942-07-13,6′ 1″ (1.85 m),"['Actor', 'Producer', 'Writer']",45.0,Raiders of the Lost Ark,"Chicago, Illinois, USA"
23,Isabela Merced,2001-07-10,5′ 1″ (1.55 m),"['Actress', 'Soundtrack', 'Music Department']",5.0,Transformers: The Last Knight,"Cleveland, Ohio, USA"
24,Jeremy Allen White,1991-02-17,5′ 7″ (1.70 m),"['Actor', 'Producer', 'Writer']",3.0,Shameless,"Brooklyn, New York, USA"
25,Kingsley Ben-Adir,1986-11-20,5′ 7½″ (1.71 m),['Actor'],10.0,The OA,
26,Mia Kirshner,1975-01-25,5′ 3″ (1.60 m),['Actress'],3.0,Not Another Teen Movie,"Toronto, Ontario, Canada"
27,Greta Gerwig,1983-08-04,5′ 9″ (1.75 m),"['Actress', 'Director', 'Writer']",68.0,Lady Bird,"Sacramento, California, USA"
28,Abbie Cornish,1982-08-07,5′ 8″ (1.73 m),"['Actress', 'Producer']",14.0,Bright Star,"Lochinvar, New South Wales, Australia"
29,Molly Gordon,1994-12-06,5′ 4″ (1.63 m),"['Actress', 'Producer', 'Writer']",1.0,Booksmart,"Los Angeles, California, USA"
30,Lauren Lapkus,1985-09-06,5′ 10″ (1.78 m),"['Actress', 'Writer', 'Music Department']",2.0,The Wrong Missy,"Chicago, Illinois, USA"
31,Gabriel Macht,1972-01-22,6′ (1.83 m),"['Actor', 'Director', 'Producer']",1.0,The Good Shepherd,"The Bronx, New York City, New York, USA"
32,Jennifer Lawrence,1990-08-15,5′ 9″ (1.75 m),"['Actress', 'Producer', 'Writer']",120.0,The Hunger Games,"Louisville, Kentucky, USA"
33,Brad Pitt,1963-12-18,5′ 11″ (1.80 m),"['Actor', 'Producer', 'Executive']",119.0,Mr. &amp; Mrs. Smith,"Shawnee, Oklahoma, USA"
34,Liz Katz,1988-07-08,5′ (1.52 m),"['Actress', 'Director', 'Writer']",,Guest House,"Randolph, New Jersey, USA"
35,Emily Blunt,1983-02-23,5′ 7″ (1.70 m),"['Actress', 'Producer', 'Additional Crew']",22.0,Edge of Tomorrow,"Roehampton, London, England, UK"
36,Poorna Jagannathan,1972-12-22,5′ 6½″ (1.69 m),['Actress'],1.0,The Night Of,"Tunis, Tunisia"
37,Angus Sampson,1979-02-12,6′ 3″ (1.91 m),"['Actor', 'Director', 'Writer']",7.0,The Lincoln Lawyer,Australia
38,Ridley Scott,1937-11-30,5′ 8½″ (1.74 m),"['Director', 'Producer', 'Production Designer']",51.0,The Martian,"South Shields, County Durham, England, UK"
39,Adam Devine,1983-11-07,5′ 8″ (1.73 m),"['Actor', 'Producer', 'Writer']",3.0,Pitch Perfect,"Waterloo, Iowa, USA"
40,Christina Chong,1983-09-18,5′ 4″ (1.63 m),"['Actress', 'Director', 'Writer']",63.0,Johnny English Reborn,"Enfield, North London, England, UK"
41,Manuel Garcia-Rulfo,1981-02-25,6′ 2½″ (1.89 m),"['Actor', 'Producer']",2.0,The Magnificent Seven,"Guadalajara, Jalisco, Mexico"
42,Jess Bush,1992-03-26,5′ 10″ (1.78 m),['Actress'],1.0,Star Trek: Strange New Worlds,"Brisbane, Queensland"
43,Rachel Brosnahan,1990-07-12,5′ 3″ (1.60 m),"['Actress', 'Producer', 'Executive']",14.0,House of Cards,"Milwaukee, Wisconsin, USA"
44,Karen Gillan,1987-11-28,5′ 10¾″ (1.80 m),"['Actress', 'Director', 'Writer']",8.0,Selfie,"Inverness, Scotland, UK"
45,Pierce Brosnan,1953-05-16,6′ 1¼″ (1.86 m),"['Actor', 'Producer', 'Executive']",21.0,The World Is Not Enough,"Drogheda, County Louth, Ireland"
46,Neve Campbell,1973-10-03,5′ 7″ (1.70 m),"['Actress', 'Producer', 'Writer']",7.0,Scream,"Guelph, Ontario, Canada"
47,Golshifteh Farahani,1983-07-10,5′ 6½″ (1.69 m),"['Actress', 'Composer', 'Camera and Electrical Department']",5.0,Paterson,"Tehran, Iran"
48,Ryan Gosling,1980-11-12,6′ 0½″ (1.84 m),"['Actor', 'Director', 'Producer']",35.0,Blue Valentine,"London, Ontario, Canada"
49,Tom Holland,1996-06-01,5′ 6½″ (1.69 m),"['Actor', 'Director', 'Producer']",25.0,Spider-Man: Homecoming,"Kingston upon Thames, England, UK"
50,Wes Anderson,1969-05-01,6′ 1″ (1.85 m),"['Director', 'Producer', 'Writer']",79.0,Fantastic Mr. Fox,"Houston, Texas, USA"
51,Karen Allen,1951-10-05,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Director']",12.0,Raiders of the Lost Ark,"Carrollton, Illinois, USA"
52,Ebon Moss-Bachrach,1977-03-19,6′ 1″ (1.85 m),"['Actor', 'Soundtrack']",1.0,Girls,"New York, New York, USA"
53,Leonardo DiCaprio,1974-11-11,6′ (1.83 m),"['Actor', 'Producer', 'Writer']",102.0,Inception,"Hollywood, Los Angeles, California, USA"
54,Mel Gibson,1956-01-03,5′ 9¾″ (1.77 m),"['Actor', 'Director', 'Producer']",44.0,Braveheart,"Peekskill, New York, USA"
55,Hannah Waddingham,1974-07-28,5′ 10¾″ (1.80 m),"['Actress', 'Soundtrack', 'Producer']",12.0,Ted Lasso,"London, England, UK"
56,Michelle Monaghan,1976-03-23,5′ 7″ (1.70 m),"['Actress', 'Producer']",3.0,Gone Baby Gone,"Winthrop, Iowa, USA"
57,Sarah Rafferty,1972-12-06,5′ 9″ (1.75 m),"['Actress', 'Soundtrack', 'Producer']",75.0,Suits,"New Canaan, Connecticut, USA"
58,Emilia Clarke,1986-10-23,5′ 2″ (1.57 m),"['Actress', 'Soundtrack', 'Producer']",8.0,Game of Thrones,"London, England, UK"
59,Jenna Ortega,2002-09-27,5′ 1″ (1.55 m),"['Actress', 'Soundtrack', 'Producer']",5.0,Scream,"Coachella Valley, California, USA"
60,Josh Hartnett,1978-07-21,6′ 3″ (1.91 m),"['Actor', 'Producer']",3.0,Lucky Number Slevin,"St. Paul, Minnesota, USA"
61,Tom Hanks,1956-07-09,6′ (1.83 m),"['Actor', 'Producer', 'Writer']",93.0,Cast Away,"Concord, California, USA"
62,Alexandra Daddario,1986-03-16,5′ 8″ (1.73 m),"['Actress', 'Soundtrack', 'Producer']",2.0,Baywatch,"New York City, New York, USA"
63,Joey King,1999-07-30,5′ 4″ (1.63 m),"['Actress', 'Soundtrack', 'Producer']",6.0,The Act,"Los Angeles, California, USA"
64,Ana de Armas,1988-04-30,5′ 6¼″ (1.68 m),"['Actress', 'Producer']",11.0,Blade Runner 2049,"Havana, Cuba"
65,Nicolas Cage,1964-01-07,6′ (1.83 m),"['Actor', 'Director', 'Producer']",61.0,Face/Off,"Long Beach, California, USA"
66,Joaquin Phoenix,1974-10-28,5′ 8″ (1.73 m),"['Actor', 'Director', 'Producer']",70.0,Walk the Line,"San Juan, Puerto Rico"
67,MyAnna Buring,1979-09-22,5′ 2″ (1.57 m),"['Actress', 'Writer']",1.0,Kill List,"Sundsvall, Västernorrlands län, Sweden"
68,Meghan Markle,1981-08-04,5′ 6″ (1.68 m),"['Actress', 'Producer', 'Writer']",1.0,Remember Me,"Los Angeles, California, USA"
69,Rick Hoffman,1970-06-12,5′ 9½″ (1.77 m),"['Actor', 'Additional Crew']",77.0,Suits,"New York City, New York, USA"
70,Esai Morales,1962-10-01,5′ 10″ (1.78 m),"['Actor', 'Director', 'Producer']",4.0,La Bamba,"Brooklyn, New York, USA"
71,Michelle Rodriguez,1978-07-12,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",13.0,Furious 7,"San Antonio, Texas, USA"
72,Amanda Peterson,1971-07-08,5′ 4″ (1.63 m),['Actress'],1.0,Can't Buy Me Love,"Greeley, Colorado, USA"
73,Sophia Lillis,2002-02-13,5′ (1.52 m),['Actress'],3.0,It,"Brooklyn, New York City, New York, USA"
74,Rachael Taylor,1984-07-11,5′ 7¾″ (1.72 m),"['Actress', 'Producer', 'Writer']",2.0,Transformers,"Launceston, Tasmania, Australia"
75,Lee Pace,1979-03-25,6′ 5″ (1.96 m),"['Actor', 'Soundtrack']",5.0,Guardians of the Galaxy,"Chickasha, Oklahoma, USA"
76,Miss Benny,1999-02-19,,"['Actress', 'Soundtrack']",,Glamorous,
77,Annie Murphy,1986-12-19,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Writer']",7.0,Schitt's Creek,"Ottawa, Ontario, Canada"
78,Christopher McQuarrie,1968-10-25,,"['Director', 'Producer', 'Writer']",10.0,The Usual Suspects,"Princeton, New Jersey, USA"
79,Emmanuelle Béart,1963-08-14,5′ 4¼″ (1.63 m),"['Actress', 'Soundtrack']",12.0,8 Women,"Gassin, Var, France"
80,Ayo Edebiri,1995-10-03,,"['Actress', 'Producer', 'Writer']",3.0,The Bear,"Boston, Massachusetts, USA"
81,Isabel May,2000-11-21,5′ 9″ (1.75 m),['Actress'],1.0,1883,"Santa Monica, California, USA"
82,Sofía Vergara,1972-07-10,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Producer']",11.0,Hot Pursuit,"Barranquilla, Colombia"
83,Hailee Steinfeld,1996-12-11,5′ 8½″ (1.74 m),"['Actress', 'Composer', 'Producer']",26.0,True Grit,"Tarzana, Los Angeles, California, USA"
84,Mira Sorvino,1967-09-28,5′ 9″ (1.75 m),"['Actress', 'Soundtrack', 'Producer']",18.0,Mighty Aphrodite,"New York City, New York, USA"
85,Matt Damon,1970-10-08,5′ 10″ (1.78 m),"['Actor', 'Producer', 'Writer']",37.0,Good Will Hunting,"Boston, Massachusetts, USA"
86,Robert Downey Jr.,1965-04-04,5′ 8″ (1.73 m),"['Actor', 'Producer', 'Writer']",43.0,Iron Man,"Manhattan, New York City, New York, USA"
87,Sarah Snook,1987-12-01,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",14.0,Predestination,"Adelaide, South Australia, Australia"
88,Anya Taylor-Joy,1996-04-16,5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",18.0,The Queen's Gambit,"Miami, Florida, USA"
89,Rose Byrne,1979-07-24,5′ 6¼″ (1.68 m),"['Actress', 'Soundtrack', 'Producer']",15.0,Spy,"Balmain, Sydney, New South Wales, Australia"
90,Alexander Skarsgård,1976-08-25,6′ 4½″ (1.94 m),"['Actor', 'Director', 'Producer']",13.0,The Legend of Tarzan,"Stockholm, Stockholms län, Sweden"
91,Adam Driver,1983-11-19,6′ 2½″ (1.89 m),"['Actor', 'Soundtrack', 'Producer']",62.0,Star Wars: Episode VII - The Force Awakens,"San Diego, California, USA"
92,Kate Mara,1983-02-27,5′ 2″ (1.57 m),"['Actress', 'Soundtrack', 'Producer']",2.0,Fantastic Four,"Bedford, New York, USA"
93,Timothy Olyphant,1968-05-20,6′ (1.83 m),"['Actor', 'Soundtrack', 'Producer']",4.0,Justified,"Honolulu, Hawaii, USA"
94,Patrick J. Adams,1981-08-27,6′ (1.83 m),"['Actor', 'Director', 'Producer']",1.0,Suits,"Toronto, Ontario, Canada"
95,Lily-Rose Depp,1999-05-27,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Composer']",1.0,Tusk,"Neuilly-sur-Seine, Hauts-de-Seine, France"
96,Elizabeth Debicki,1990-08-24,6′ 2¾″ (1.90 m),"['Actress', 'Producer']",6.0,The Great Gatsby,"Paris, France"
97,John Krasinski,1979-10-20,6′ 3″ (1.91 m),"['Actor', 'Director', 'Producer']",18.0,Tom Clancy's Jack Ryan,"Newton, Massachusetts, USA"
98,Idris Elba,1972-09-06,6′ 2½″ (1.89 m),"['Actor', 'Producer', 'Writer']",30.0,Beasts of No Nation,"Hackney, London, England, UK"
99,Chloë Grace Moretz,1997-02-10,5′ 4″ (1.63 m),"['Actress', 'Soundtrack', 'Producer']",28.0,Kick-Ass,"Atlanta, Georgia, USA"
100,Juno Temple,1989-07-21,5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",6.0,Atonement,"London, England, UK"
